City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Pacific Grove,US,50.65,clear sky,36.6177,-121.9166,Pacific Grove Inn
553,Hailey,US,24.89,scattered clouds,43.5196,-114.3153,Fairfield Inn
565,Baft,IR,26.35,clear sky,29.234,56.6057,هتل 4 ستاره در حال ساخت بام بافت
571,Ribeira Brava,PT,63.72,light rain,32.65,-17.0667,Cheerfulway Bravamar Hotel
572,Mamonovo,RU,30.7,overcast clouds,54.4643,19.938,У моста
584,Winnemucca,US,33.01,broken clouds,40.973,-117.7357,The Overland Hotel
595,Coldingham,GB,42.58,overcast clouds,55.8868,-2.157,Eye Sleep Over
596,Grenada,ES,50.36,few clouds,37.1882,-3.6067,Allegro Granada
604,Horasan,TR,27.1,overcast clouds,40.0458,42.1728,Karaca
609,Grants,US,32.23,clear sky,35.1473,-107.8514,Southwest Motel
612,Liverpool,GB,45.75,overcast clouds,53.4106,-2.9779,The Lord Nelson Hotel
613,Virginia Beach,US,56.05,few clouds,36.8529,-75.978,Beach Spa Bed & Breakfast
625,Severo-Kurilsk,RU,25.18,overcast clouds,50.6789,156.125,"""Дом рыбака"""
626,Hirara,JP,58.98,overcast clouds,24.8,125.2833,古謝そば屋
631,Klaksvik,FO,43.72,overcast clouds,62.2266,-6.589,Hotel Klaksvik
633,Buraydah,SA,60.75,clear sky,26.326,43.975,دنا للوحدات السكنية
641,Vila,PT,41.88,few clouds,42.0304,-8.1588,Hotel Miracastro
644,Hamilton,US,50.65,clear sky,39.1834,-84.5333,North Vista Manor
654,Husavik,IS,37.74,overcast clouds,66.0449,-17.3389,Fosshótel Húsavík
667,Gazanjyk,TM,33.31,clear sky,39.2446,55.5154,Şemşadyñ mamasy
668,Harwich,GB,42.37,broken clouds,51.9419,1.2844,Bottle Kiln
669,Abha,SA,55.65,few clouds,18.2164,42.5053,SAHAB
671,Insch,GB,39.47,broken clouds,57.3427,-2.6132,The Commercial Hotel
673,Sungaipenuh,ID,64.63,overcast clouds,-2.0833,101.3833,Hotel Matahari
675,Kathmandu,NP,51.84,few clouds,27.7167,85.3167,Aryatara Kathmandu Hotel
676,Tramore,IE,47.48,scattered clouds,52.1624,-7.1524,Majestic Hotel
677,Visnes,NO,43.21,few clouds,59.3556,5.2242,Park Inn Haugesund Airport
678,Sorland,NO,39.06,overcast clouds,67.667,12.6934,Fagmek Resorts
684,La Baneza,ES,42.35,few clouds,42.3003,-5.8977,Hostal Astur
690,Prince Rupert,CA,32.09,fog,54.3161,-130.3201,Crest Hotel
694,Storslett,NO,33.8,few clouds,69.7678,21.0247,Reisafjord hotel
700,Puerto Penasco,MX,52.92,overcast clouds,31.3167,-113.5333,Hotel Paraíso Del Desierto
