City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Tocopilla,CL,-22.092,-70.1979,74.5,74,82,6.82,broken clouds
123,Bathsheba,BB,13.2167,-59.5167,83.01,57,40,20.71,scattered clouds
124,Leshukonskoye,RU,64.8989,45.7622,23.77,93,100,11.48,light snow
125,Ketchikan,US,55.3422,-131.6461,39.18,69,4,6.67,clear sky
126,Aku,NG,6.7081,7.3167,89.67,54,100,6.38,overcast clouds
127,Kununurra,AU,-15.7667,128.7333,80.58,89,40,0.0,scattered clouds
128,Skagen,DK,57.7209,10.5839,43.18,76,94,26.37,overcast clouds
129,Bluff,NZ,-46.6,168.3333,57.74,80,31,5.53,scattered clouds
130,Havoysund,NO,70.9963,24.6622,34.03,88,99,22.48,light snow
131,Dubbo,AU,-32.25,148.6167,71.73,64,100,4.61,overcast clouds
132,Kaka,TM,37.3482,59.6143,37.54,54,8,5.21,clear sky
133,Faanui,PF,-16.4833,-151.75,81.03,72,13,14.5,few clouds
134,Waingapu,ID,-9.6567,120.2641,78.64,86,100,5.61,very heavy rain
135,Qaanaaq,GL,77.484,-69.3632,-3.24,59,6,9.4,clear sky
136,Ornskoldsvik,SE,63.2909,18.7153,31.15,80,19,14.97,few clouds
137,Vardo,NO,70.3705,31.1107,32.76,98,99,8.84,snow
138,Viedma,AR,-40.8135,-62.9967,91.65,14,8,7.87,clear sky
139,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,21.85,snow
140,Moron,AR,-34.6534,-58.6198,90.01,63,0,4.47,clear sky
141,Porbandar,IN,21.6422,69.6093,70.23,54,0,8.95,clear sky
142,Zyryanka,RU,65.75,150.85,-25.24,98,94,0.89,light snow
143,Alofi,NU,-19.0595,-169.9187,75.09,94,94,3.44,overcast clouds
144,Esperance,AU,-33.8667,121.9,60.06,67,0,9.53,clear sky
145,Mount Isa,AU,-20.7333,139.5,76.77,78,40,11.5,moderate rain
146,Constitucion,CL,-35.3333,-72.4167,72.99,46,2,11.61,clear sky
147,Tasiilaq,GL,65.6145,-37.6368,22.91,95,100,11.68,snow
148,Teya,RU,60.3778,92.6267,6.13,98,100,3.94,overcast clouds
149,Hambantota,LK,6.1241,81.1185,76.46,74,100,7.31,overcast clouds
150,Moose Factory,CA,51.2585,-80.6094,-13.0,64,0,16.11,clear sky
151,Necochea,AR,-38.5473,-58.7368,81.55,48,9,10.07,clear sky
152,Cadillac,US,44.2519,-85.4012,22.8,73,75,0.0,broken clouds
153,Tazovskiy,RU,67.4667,78.7,3.7,97,100,2.71,overcast clouds
154,Santa Cruz De Tenerife,ES,28.4682,-16.2546,67.28,81,100,16.11,overcast clouds
155,Half Moon Bay,US,37.4636,-122.4286,51.48,92,100,0.0,fog
156,Coquimbo,CL,-29.9533,-71.3436,69.53,68,0,16.11,clear sky
157,Mizdah,LY,31.4451,12.9801,49.08,30,2,7.67,clear sky
158,Kruisfontein,ZA,-34.0033,24.7314,61.88,85,92,17.22,light rain
159,Namatanai,PG,-3.6667,152.4333,79.39,82,34,5.68,light rain
160,Bilibino,RU,68.0546,166.4372,-3.82,94,98,4.45,overcast clouds
161,Tiznit,MA,29.5833,-9.5,53.35,50,3,13.27,clear sky
162,Kysyl-Syr,RU,63.8986,122.7617,-57.17,100,65,2.95,broken clouds
163,Prieska,ZA,-29.6641,22.7474,91.71,15,4,22.35,clear sky
164,Kodiak,US,57.79,-152.4072,31.51,100,100,3.44,fog
165,Isangel,VU,-19.55,169.2667,79.32,83,84,5.17,light rain
166,Carnarvon,AU,-24.8667,113.6333,75.6,76,0,20.0,clear sky
167,Katsuura,JP,35.1333,140.3,38.68,55,39,5.21,scattered clouds
168,Biskupiec,PL,53.8647,20.9569,30.02,93,61,3.91,broken clouds
169,Luzhou,CN,28.8724,105.4405,48.29,55,1,1.36,clear sky
170,Norman Wells,CA,65.282,-126.8329,-25.56,75,20,5.75,few clouds
171,Torbay,CA,47.6666,-52.7314,31.75,63,20,5.99,few clouds
172,La Ronge,CA,55.1001,-105.2842,-7.35,71,75,14.97,light snow
173,Morros,BR,-9.4467,-46.3003,83.5,56,98,3.83,overcast clouds
174,Divnogorsk,RU,55.9594,92.3619,21.74,94,100,10.31,light snow
175,Kavieng,PG,-2.5744,150.7967,82.13,76,16,9.22,light rain
176,Airai,TL,-8.9266,125.4092,61.32,93,93,1.07,overcast clouds
177,Cayenne,GF,4.9333,-52.3333,77.04,83,75,2.3,broken clouds
178,New Bedford,US,41.6362,-70.9342,50.94,62,15,18.99,few clouds
179,North Bend,US,43.4065,-124.2243,43.92,99,100,3.44,mist
180,Fare,PF,-16.7,-151.0167,81.25,71,6,15.84,clear sky
